timestamp_s,resp_phase,subject_id,session_id,presence,label,breath_rpm,range_m,quality,signal_source,device_id
0.0000,-0.280000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,25.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.1000,-0.260000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,25.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.2000,-0.230000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,25.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.3000,-0.220000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,25.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.4000,-0.190000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,24.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.5000,-0.160000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,23.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.6000,-0.150000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,23.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.7000,-0.120000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,22.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.8000,-0.100000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,21.00,0.7462,,MR60BHA2_breath_phase,safenest-node-01
0.9000,-0.070000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,19.00,0.8036,,MR60BHA2_breath_phase,safenest-node-01
1.0000,-0.040000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,19.00,0.8036,,MR60BHA2_breath_phase,safenest-node-01
1.1010,-0.030000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,19.00,0.8036,,MR60BHA2_breath_phase,safenest-node-01
1.2010,0.000000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,18.00,0.8036,,MR60BHA2_breath_phase,safenest-node-01
1.3010,0.020000,S001,S001_ENTRY_EXIT_08,1,PRESENCE_TRANSITION,17.00,0.8036,,MR60BHA2_breath_phase,safenest-node-01
