index,watch_bpm,vendor_mr60_bpm,vendor_error_bpm,respiration_rpm,breath_phase_std,breath_spectral_peak_ratio,breath_filtered_valid_rate,vendor_error_nearest_order,vendor_error_order_residual_bpm,vendor_error_sideband_match,dominant_total_peak_bpm,dominant_heart_phase_peak_bpm,dominant_spectrum_nearest_order,dominant_spectrum_order_residual_bpm,dominant_spectrum_sideband_match,vendor_to_watch_amplitude_ratio,max_predicted_sideband_to_base_ratio
1,68,86.0,18.0,16.65554934701233,0.15857368024813132,11.031031152293155,0.7833333333333333,1,1.3444506529876712,True,99.29626027446855,54.151674653469435,2,2.0148384195561064,True,0.867384683469032,1.1250741633938501
2,71,88.0,17.0,19.93948474073419,0.15555779352115578,3.1081165803204143,0.0,1,2.9394847407341906,True,67.49687971375533,67.92321230496513,0,3.503120286244666,False,0.6484179839013708,0.7455862290317101
3,75,84.0,9.0,8.084833017257557,0.2231120921535671,3.3113866196491752,0.08524590163934426,1,0.9151669827424431,True,108.16081745977573,107.92330933613277,2,16.991151425260615,False,0.751138451060434,2.02594315426987
4,70,83.0,13.0,17.78252085007488,0.17660873777974437,2.844845059688396,0.9114754098360656,1,4.7825208500748815,False,105.48323164745695,77.32425659652195,2,0.08181005269281627,True,0.5711301291667097,1.0502448429720952
5,75,64.0,-11.0,16.71268793696722,0.2681292298741316,9.578687193514165,0.6229508196721312,-1,5.712687936967221,False,51.20487628014976,55.960901625369495,-1,7.082435782883017,False,1.2908772085821585,1.5367913542963951
6,73,89.0,16.0,16.611249299343296,0.12243219346837397,3.9160153440840806,0.7770491803278688,1,0.6112492993432959,True,57.26666080103397,73.69612135673361,-1,0.8779101003772674,True,0.6225774278422993,1.0538685831396595
7,77,96.0,19.0,9.867615346130355,0.2909609631933887,3.9343172196550897,0.6852459016393443,2,0.7352306922607106,True,107.40380380935686,48.872015476333836,2,10.668573117096148,False,1.0263919780179345,1.4017680272991295
8,71,96.0,25.0,17.149009683467828,0.18031949783602383,4.245110294842602,0.898360655737705,1,7.850990316532172,False,63.76588520913047,64.2193624149176,0,7.234114790869533,False,0.6681432368745354,0.9405980189444295
9,81,109.0,28.0,17.57227112292924,0.14101037752529286,5.259940293694697,0.0,2,7.1445422458584815,False,71.6131313834511,50.08657834148563,-1,8.185402506380345,False,1.7358821250566514,2.1099311957277846
10,71,81.0,10.0,15.860942316074606,0.10626482618316815,3.5387981004208,0.0,1,5.860942316074606,False,57.2303007469191,57.53377209428438,-1,2.091243062993705,True,0.6052004503215326,1.0674753507535326
